location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Cyprus,2021-01-06,Pfizer/BioNTech,http://www.pio.gov.cy/coronavirus/uploads/06012021--Ενημέρωση%20για%20την%20πορεία%20υλοποίησης%20του%20Εθνικού%20Εμβολιαστικού%20Πλάνου%20για%20την%20COVID-19.pdf,3901,3901,0
Cyprus,2021-01-10,Pfizer/BioNTech,"http://www.pio.gov.cy/coronavirus/uploads/10012021--Άλλα%203,960%20ραντεβού%20για%20εμβολιασμό%20στη%20διάθεση%20των%20πολιτών%20ηλικίας%20άνω%20των%2080%20ετών.pdf",6035,6035,0
Cyprus,2021-01-16,"Moderna, Pfizer/BioNTech",http://www.pio.gov.cy/coronavirus/uploads/16012021--Συνεχίζεται%20η%20εμβολιαστική%20κάλυψη%20των%20πολιτών%20κατά%20της%20COVID.pdf,10226,10226,0
Cyprus,2021-01-23,"Moderna, Pfizer/BioNTech",http://www.pio.gov.cy/coronavirus/uploads/23012021--Ραντεβού%20για%20εμβολιασμό%20για%20τα%20άτομα%20άνω%20των%2090%20ετών.pdf,17739,15322,2057
Cyprus,2021-01-30,"Moderna, Pfizer/BioNTech",http://www.pio.gov.cy/coronavirus/uploads/30012021--Νέα%20ραντεβού%20για%20εμβολιασμό%20-%20Ανοίγει%20η%20Πύλη%20Εμβολισμού%20για%20τους%20άνω%20των%2084.pdf,25519,19618,5551
Cyprus,2021-02-06,"Moderna, Pfizer/BioNTech",http://www.pio.gov.cy/coronavirus/uploads/06022021--Πέραν%20των%2010%20χιλιάδων%20πολιτών%20ολοκλήρωσαν%20τον%20εμβολιασμό%20τους.pdf,32837,22813,10024
Cyprus,2021-02-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",http://www.pio.gov.cy/coronavirus/uploads/14022021--Εντατικοποιείται%20ο%20εμβολιασμός%20κατά%20της%20COVID-19.pdf,44429,29592,14837
Cyprus,2021-02-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/20022021--Σε%20εξέλιξη%20το%20Εθνικό%20Εμβολιαστικό%20Πλάνο.pdf,56791,37570,19221
Cyprus,2021-02-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/24022021--Επιτυγχάνονται%20οι%20στόχοι%20του%20Εμβολιαστικού%20Πλάνου.pdf,64562,44239,20323
Cyprus,2021-02-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","https://www.pio.gov.cy/coronavirus/uploads/27022021--Ξεπέρασαν%20τις%2076,000%20οι%20εμβολιασμοί%20κατά%20της%20COVID-19.pdf",76176,53617,22559
Cyprus,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/08032021--Ραντεβού%20για%20εμβολιασμό%20κατά%20της%20COVID-19.pdf,99275,70534,28741
Cyprus,2021-03-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/22032021--Στην%201η%20θέση%20σε%20αριθμό%20τεστ%20η%20Κύπρος%20-%20Προχωρά%20η%20εμβολιαστική%20κάλυψη.pdf,131623,94514,37109
Cyprus,2021-04-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/04042021--Εμβολιασμός%20ατόμων%20που%20κάνουν%20ενεργό%20χρήση%20βιολογικών%20παραγόντων%20ή%20άλλων%20ανοσοκατασταλτικών%20φαρμάκων.pdf,161526,114660,46866
Cyprus,2021-04-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/06042021--Ραντεβού%20για%20εμβολιασμό%20ατόμων%20ηλικίας%2061%20ετών%20και%20άνω.pdf,165116,117615,47501
Cyprus,2021-04-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/08042021--Ραντεβού%20για%20εμβιλιασμό%20των%20ατομων%2059%20και%2060%20ετών.pdf,174626,124165,50461
47501
Cyprus,2021-04-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://www.pio.gov.cy/coronavirus/uploads/10042021--Ραντεβού%20για%20εμβολιασμό%20ευπαθών%20ομάδων.pdf,183225,130937,52288
